Application,Stars,URL,Confirmed,Codeql,FP Reason,Types,,Input,,,Status,Comment
,,,,,,Get,Set,,Remote,Local,,
unprompted,785,https://github.com/ThereforeGames/unprompted,N,Y,amp library: set_fn false positive,,,,,,,,
parallelformers,781,https://github.com/tunib-ai/parallelformers,N/A,Y,,Attr,Attr,,,,,,Yes
SpikeGPT,774,https://github.com/ridgerchu/SpikeGPT,N/A,Y,,Attr,Attr,,,,,,Yes
LongMem,772,https://github.com/Victorwz/LongMem,N/A,Y,,Attr,Attr,,,,,,Yes
LongMem,772,https://github.com/Victorwz/LongMem,N/A,Y,,Attr,Attr,,,,,,Yes
TinyNeuralNetwork,771,https://github.com/alibaba/TinyNeuralNetwork,N,Y,"multiattribute only, value must be nn.module type",,,,,,,,
meta-dataset,768,https://github.com/google-research/meta-dataset,N/A,N,,N,N,,"https://github.com/google-research/meta-dataset/blob/main/meta_dataset/models/experimental/reparameterizable_base_test.py#L193
/\bsetattr\(\s*target\s*,\s*\w+\s*,\s*\w+\s*\)/ /\btarget\[\w+\]\s*=|\btarget\.get\(/ /\btarget\s*=/ language:Python",,,,
OmniQuant,745,https://github.com/OpenGVLab/OmniQuant,N/A,Y,,Attr,Attr,,,,,,Yes
OmniQuant,745,https://github.com/OpenGVLab/OmniQuant,N/A,Y,,Attr,Attr,,,,,,Yes
Kaggler,744,https://github.com/jeongyoonlee/Kaggler,N,Y,fn:set_builtin,,,,,,,,
PiPPy,730,https://github.com/pytorch/PiPPy,N/A,Y,,Attr,Attr,,,,,,Yes
aiogram_dialog,720,https://github.com/Tishka17/aiogram_dialog,N,Y,only setattr for Bot class,,,,,,,,
nyuntam,712,https://github.com/nyunAI/nyuntam,N/A,Y,,Attr,Attr,,,,,,Yes
kan-gpt,711,https://github.com/AdityaNG/kan-gpt,N/A,Y,,Attr,Attr,,,,,,Yes
kan-gpt,711,https://github.com/AdityaNG/kan-gpt,N/A,Y,,Attr,Attr,,,,,,Yes
JSPyBridge,709,https://github.com/extremeheat/JSPyBridge,Y,Y,,Attr/Field,Attr/Field,Function,"mothly downlaod 19,449: multiple pollution",,,,
SegmenTron,706,https://github.com/LikeLy-Journey/SegmenTron,N/A,Y,,Attr/Field,Field,,,,,,Yes
SegmenTron,706,https://github.com/LikeLy-Journey/SegmenTron,N/A,Y,,Attr,Field,,,,,,Yes
anole,699,https://github.com/GAIR-NLP/anole,N/A,Y,,Attr,Field,,.get/.post/.api_route|import_starlette|import_flask|import_fastapi|.route,,,,Yes
anole,699,https://github.com/GAIR-NLP/anole,N/A,Y,,Attr,Attr,,.get/.post/.api_route|import_starlette|import_flask|import_fastapi|.route,,,,Yes
anole,699,https://github.com/GAIR-NLP/anole,N/A,Y,,Attr/Field,Field,,.get/.post/.api_route|import_starlette|import_flask|import_fastapi|.route,,,,Yes
anole,699,https://github.com/GAIR-NLP/anole,N/A,Y,,Attr/Field,Attr/Field,,.get/.post/.api_route|import_starlette|import_flask|import_fastapi|.route,,,,Yes
anole,699,https://github.com/GAIR-NLP/anole,N/A,Y,,Attr,Attr,,.get/.post/.api_route|import_starlette|import_flask|import_fastapi|.route,,,,Yes
anole,699,https://github.com/GAIR-NLP/anole,N/A,Y,,Attr/Field,Attr/Field,,.get/.post/.api_route|import_starlette|import_flask|import_fastapi|.route,,,,Yes
anole,699,https://github.com/GAIR-NLP/anole,N/A,Y,,Attr/Field,Field,,.get/.post/.api_route|import_starlette|import_flask|import_fastapi|.route,,,,Yes
anole,699,https://github.com/GAIR-NLP/anole,N/A,Y,,Attr,Field,,.get/.post/.api_route|import_starlette|import_flask|import_fastapi|.route,,,,Yes
FreeTakServer,695,https://github.com/FreeTAKTeam/FreeTakServer,N/A,Y,,Attr,Attr,,.route|import_flask|@get/post/route,,,,Yes
FreeTakServer,695,https://github.com/FreeTAKTeam/FreeTakServer,N/A,Y,,Attr,Attr,,.route|import_flask|@get/post/route,,,,Yes
GPTFast,689,https://github.com/MDK8888/GPTFast,N/A,Y,,Attr,Attr,,,,,,Yes
GPTFast,689,https://github.com/MDK8888/GPTFast,N/A,Y,,Attr,Attr,,,,,,Yes
veScale,684,https://github.com/volcengine/veScale,N/A,Y,,Attr,Attr,,,,,,Yes
AI_Challenger_2018,682,https://github.com/AIChallenger/AI_Challenger_2018,N/A,Y,,Attr,Attr,,,,,,Yes
AI_Challenger_2018,682,https://github.com/AIChallenger/AI_Challenger_2018,N/A,Y,,Attr,Attr,,,,,,Yes
MOFA-Video,676,https://github.com/MyNiuuu/MOFA-Video,N/A,Y,,Attr,Attr,,,,,,Yes
deepvac,670,https://github.com/DeepVAC/deepvac,N/A,Y,,Attr,Attr,,,,,,Yes
deepvac,670,https://github.com/DeepVAC/deepvac,N/A,Y,,Attr,Attr,,,,,,Yes
tauthon,670,https://github.com/naftaliharris/tauthon,N/A,Y,,Attr,Attr,,,,,,Yes
hidet,664,https://github.com/hidet-org/hidet,N/A,Y,,Attr,Attr,,.route|import_flask,,,,Yes
starlette-admin,653,https://github.com/jowilf/starlette-admin,N/A,Y,,Attr,Attr,,import_starlette,,,,Yes
Blenvy,646,https://github.com/kaosat-dev/Blenvy,N/A,Y,,Attr,Attr,,,,,,Yes
mlx-vlm,645,https://github.com/Blaizzy/mlx-vlm,N/A,Y,,Attr,Attr,,,,,,Yes
mlx-vlm,645,https://github.com/Blaizzy/mlx-vlm,N/A,Y,,Attr,Attr,,,,,,Yes
MetaSpore,645,https://github.com/meta-soul/MetaSpore,N,Y,"fn:setDefault,only for setting default value for attributes; if attr exists, not set;",,,,,,,,
TensorRT-Model-Optimizer,643,https://github.com/NVIDIA/TensorRT-Model-Optimizer,N/A,Y,,Attr,Attr,,.get/.post/.api_route|import_fastapi,,,,Yes
TensorRT-Model-Optimizer,643,https://github.com/NVIDIA/TensorRT-Model-Optimizer,N/A,Y,,Attr,Attr,,.get/.post/.api_route|import_fastapi,,,,Yes
StyleHEAT,640,https://github.com/OpenTalker/StyleHEAT,N/A,Y,,Attr,Attr,,,,,,Yes
hera,633,https://github.com/argoproj-labs/hera,N/A,Y,,Attr,Attr,,,,,,Yes
hera,633,https://github.com/argoproj-labs/hera,N/A,Y,,Attr,Attr,,,,,,Yes
MASR,631,https://github.com/yeyupiaoling/MASR,N/A,Y,,Attr,Attr,,import_starlette|.get/.post/.api_route|import_fastapi,,,,Yes
parkour,629,https://github.com/ZiwenZhuang/parkour,N/A,Y,,Attr,Attr,,import_flask|dot_add_url_rule,,,,Yes
parkour,629,https://github.com/ZiwenZhuang/parkour,N/A,Y,,Attr,Attr,,import_flask|dot_add_url_rule,,,,Yes
hard-prompts-made-easy,623,https://github.com/YuxinWenRick/hard-prompts-made-easy,N/A,Y,,Attr,Attr,,,,,,Yes
hard-prompts-made-easy,623,https://github.com/YuxinWenRick/hard-prompts-made-easy,N/A,Y,,Attr,Attr,,,,,,Yes
extreme-parkour,620,https://github.com/chengxuxin/extreme-parkour,N/A,Y,,Attr,Attr,,import_flask|dot_add_url_rule,,,,Yes
SceneDreamer,620,https://github.com/FrozenBurning/SceneDreamer,N/A,Y,,Attr,Attr,,,,,,Yes
extreme-parkour,620,https://github.com/chengxuxin/extreme-parkour,N/A,Y,,Attr,Attr,,import_flask|dot_add_url_rule,,,,Yes
humanplus,613,https://github.com/MarkFzp/humanplus,N/A,Y,,Attr,Attr,,,,,,Yes
humanplus,613,https://github.com/MarkFzp/humanplus,N/A,Y,,Attr,Attr,,,,,,Yes
sbi,611,https://github.com/sbi-dev/sbi,N,Y,obj.__dict__.items() to avoid traversing prototype.,N,N,,,,,,
3D-Diffusion-Policy,610,https://github.com/YanjieZe/3D-Diffusion-Policy,N/A,Y,,Attr,Attr,,.route|import_flask,,,,Yes
blrec,609,https://github.com/acgnhiki/blrec,N/A,Y,,Attr,Attr,,import_aiohttp|import_starlette|.get/.post/.api_route|import_fastapi,,,,Yes
blrec,609,https://github.com/acgnhiki/blrec,N/A,Y,,Attr,Attr,,import_aiohttp|import_starlette|.get/.post/.api_route|import_fastapi,,,,Yes
jupyter-ros,595,https://github.com/RoboStack/jupyter-ros,N/A,Y,,Attr,Attr,,,,,,Yes
jupyter-ros,595,https://github.com/RoboStack/jupyter-ros,N/A,Y,,Attr,Attr,,,,,,Yes
NonDeepNetworks,586,https://github.com/imankgoyal/NonDeepNetworks,N/A,Y,,Attr,Attr,,,,,,Yes
pyobjc,584,https://github.com/ronaldoussoren/pyobjc,N/A,Y,,Attr,Attr,,,,,,Yes
pyobjc,584,https://github.com/ronaldoussoren/pyobjc,N/A,Y,,Attr,Attr/Field,,,,,,Yes
SillyTavern-Extras,576,https://github.com/SillyTavern/SillyTavern-Extras,N/A,Y,,Attr,Attr,,.route|import_flask|dot_add_url_rule,,,,Yes
SillyTavern-Extras,576,https://github.com/SillyTavern/SillyTavern-Extras,N/A,Y,,Attr,Attr,,.route|import_flask|dot_add_url_rule,,,,Yes
BiomedGPT,576,https://github.com/taokz/BiomedGPT,N/A,Y,,Attr,Attr,,,,,,Yes
see,575,https://github.com/Bartzi/see,N/A,Y,,Attr,Attr,,,,,,Yes
see,575,https://github.com/Bartzi/see,N/A,Y,,Attr,Attr,,,,,,Yes
phillip,565,https://github.com/vladfi1/phillip,P,Y,,Attr,Attr,,,,,,
SAELens,564,https://github.com/jbloomAus/SAELens,N/A,N,,N,N,,"https://github.com/jbloomAus/SAELens/blob/4935b8351d8b2bdcbcc6b4f3a5c61b33ab82cf9e/sae_lens/analysis/hooked_sae_transformer.py#L36
set_deep_attr",,,,
RSPrompter,559,https://github.com/KyanChen/RSPrompter,N/A,Y,,Attr,Attr,,,,,,Yes
RSPrompter,559,https://github.com/KyanChen/RSPrompter,N/A,Y,,Attr,Attr,,,,,,Yes
nzbhydra,559,https://github.com/theotherp/nzbhydra,N,Y,"copy.py , false positive",,,,,,,,
torchopt,558,https://github.com/metaopt/torchopt,N/A,Y,,Attr,Attr,,,,,,Yes
dd-trace-py,555,https://github.com/DataDog/dd-trace-py,N,Y,self set,,,,,,,,
InterFuser,554,https://github.com/opendilab/InterFuser,N/A,Y,,Attr,Attr,,,,,,Yes
UnifiedSKG,550,https://github.com/xlang-ai/UnifiedSKG,N/A,Y,,Attr,Attr,,,,,,Yes
CenterNet-better,549,https://github.com/FateScript/CenterNet-better,N/A,Y,,Attr,Attr,,,,,,Yes
CenterNet-better,549,https://github.com/FateScript/CenterNet-better,N/A,Y,,Attr,Attr,,,,,,Yes
pogom,548,https://github.com/favll/pogom,N/A,Y,,Attr,Attr,,.route|import_flask,,,,Yes
pogom,548,https://github.com/favll/pogom,N/A,Y,,Attr,Attr,,.route|import_flask,,,,Yes
VPTQ,545,https://github.com/microsoft/VPTQ,N/A,Y,,Attr,Attr,,,,,,Yes
pygfx,544,https://github.com/pygfx/pygfx,N/A,Y,,Attr,Attr,,django_path,,,,Yes
mcap,540,https://github.com/foxglove/mcap,N/A,Y,,Attr,Attr,,,,,,Yes
mcap,540,https://github.com/foxglove/mcap,N/A,Y,,Attr,Attr,,,,,,Yes
astroid,538,https://github.com/pylint-dev/astroid,N/A,Y,,Attr,Attr,,,,,,Yes
Chinese-Llama-2,534,https://github.com/longyuewangdcu/Chinese-Llama-2,N/A,Y,,Attr,Attr,,import_starlette|import_fastapi,,,,Yes
oxo,533,https://github.com/Ostorlab/oxo,N/A,Y,,Attr,Attr,,.route|import_flask|dot_add_url_rule,,,,Yes
oxo,533,https://github.com/Ostorlab/oxo,N/A,Y,,Attr,Attr,,.route|import_flask|dot_add_url_rule,,,,Yes
google-ads-python,533,https://github.com/googleads/google-ads-python,N/A,Y,,Attr,Attr,,,,,,Yes
CoTNet,527,https://github.com/JDAI-CV/CoTNet,N/A,Y,,Attr,Attr,,,,,,Yes
CoTNet,527,https://github.com/JDAI-CV/CoTNet,N/A,Y,,Attr,Attr,,,,,,Yes
PIRender,527,https://github.com/RenYurui/PIRender,N/A,Y,,Attr,Attr,,,,,,Yes
torchlens,525,https://github.com/johnmarktaylor91/torchlens,Y,Y,duplicated with Github dataset.,Attr/Field,Attr/Field,,,,,,
Rofunc,524,https://github.com/Skylark0924/Rofunc,N,Y,"issac_utils:apply_random_samples, false positive",,,,,,,,
graphql-core,516,https://github.com/graphql-python/graphql-core,N/A,Y,,Attr,Attr,,,,,,Yes
TorchSemiSeg,509,https://github.com/charlesCXK/TorchSemiSeg,N,Y,amp library: set_fn false positive,,,,,,,,
attention_with_linear_biases,507,https://github.com/ofirpress/attention_with_linear_biases,N/A,Y,,Attr,Attr,,,,,,Yes
attn2d,503,https://github.com/elbayadm/attn2d,N/A,Y,,Attr,Attr,,,,,,Yes
attn2d,503,https://github.com/elbayadm/attn2d,N/A,Y,,Attr,Attr,,,,,,Yes
attn2d,503,https://github.com/elbayadm/attn2d,N/A,Y,,Attr,Attr,,,,,,Yes
CodeRL,502,https://github.com/salesforce/CodeRL,N/A,Y,,Attr,Attr,,import_starlette|import_fastapi,,,,Yes
FewCLUE,500,https://github.com/CLUEbenchmark/FewCLUE,N/A,Y,,Attr/Field,Field,,,,,,Yes
