Application,Stars,URL,Confirmed,Codeql,FP Reason,Types,,Input,Comment
IceKube,171,https://github.com/WithSecureLabs/IceKube,N,Y,"good setter,but no recursive operation",,,,
Prusa-Link,169,https://github.com/prusa3d/Prusa-Link,N,Y,obj type must be Basemodel,,,,
footballanalysis,169,https://github.com/FootballAnalysis/footballanalysis,N,Y,self dest obj,,,,
graphqllib,158,https://github.com/dittos/graphqllib,N,Y,,,,,
F-Clip,158,https://github.com/Delay-Xili/F-Clip,N,Y,self dest obj,,,,
netchecks,156,https://github.com/hardbyte/netchecks,Y,Y,,Attr,Attr/Field,,
UniHCP,153,https://github.com/OpenGVLab/UniHCP,N,Y,,,,,
UnicomDailyTask,151,https://github.com/rhming/UnicomDailyTask,N,Y,,,,,
visual_wholebody,149,https://github.com/Ericonaldo/visual_wholebody,N,Y,"apply_random_samples, false positive",,,,
python-swat,148,https://github.com/sassoftware/python-swat,N,Y,,,,,
Relation-DETR,147,https://github.com/xiuqhou/Relation-DETR,N,Y,restrict dest obj type when setting attr,,,,
openleadr-python,139,https://github.com/OpenLEADR/openleadr-python,N,Y,dest obj dataclass check,,,,
dub_genius,135,https://github.com/2DIPW/dub_genius,N,Y,,,,,
Jacinle,135,https://github.com/vacancy/Jacinle,Y,Y,,Attr,Attr/Field,Function,command line class
novelai-api,133,https://github.com/Aedial/novelai-api,N,Y,,,,,
domonic,132,https://github.com/byteface/domonic,N,Y,"simply set, no recursive operation",,,,
angle,130,https://github.com/pannous/angle,N,Y,"simply set, no recursive operation",,,,
sharpy,128,https://github.com/ImperialCollegeLondon/sharpy,N,Y,"simply set, no recursive operation",,,,
uavSim,121,https://github.com/theilem/uavSim,Y,Y,duplicated with redacted's 100-1k codeql dataset.,,,,
edsnlp,118,https://github.com/aphp/edsnlp,Y,Y,,Attr/Field,Attr/Field,,"mothly downlaod 19,449: multiple pollution"
simple-cnaps,116,https://github.com/peymanbateni/simple-cnaps,N,Y,Duplicated with Google dataset,,,,
volta,114,https://github.com/e-bug/volta,N,Y,amp library: set_fn false positive,,,,
DistributedCrawling,113,https://github.com/TengXiaoDai/DistributedCrawling,N,Y,"copy.py, false positive",,,,
VidIL,112,https://github.com/MikeWangWZHL/VidIL,N,Y,amp library: set_fn false positive,,,,
Hulk,111,https://github.com/OpenGVLab/Hulk,N,Y,"set_func, false positive",,,,
bunnet,111,https://github.com/BeanieODM/bunnet,N,Y,"Good,but dest obj type check",,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
sonic-sound-picture,227,https://github.com/s-a/sonic-sound-picture,N/A,N,,N,N,,"https://github.com/s-a/sonic-sound-picture/blob/20c9ccf45299515eb007e22be510f8b1bc9e962c/electron-app/src/static/render.py#L412 
/\bsetattr\(\s*\w*(obj|parent|target|instance|dict|dest|conf)\w*\s*,\s*\w+\s*,\s*\w+\s*\)/ /\bobj\[\w+\]\s*=|\bobj\.get\(/ /\bobj\s*=/ language:Python"
sd-webui-temporal,27,https://github.com/Iniquitatis/sd-webui-temporal,N/A,N,,N,N,,"https://github.com/Iniquitatis/sd-webui-temporal/blob/2d35347b1576b442d6c0ac9dafa0c7e406c1a11c/temporal/utils/object.py#L41
/\bsetattr\(\s*obj\w*\s*,\s*\w+\s*,\s*\w+\s*\)/ /\bobj\[\w+\]\s*=|\bobj\.get\(/ /\bobj\s*=/ /\(\s*\w*(obj|parent|target|instance|dict|dest|conf)\w*/ language:Python"
gensphere,111,https://github.com/octopus2023-inc/gensphere,N/A,N,,N,N,,"https://github.com/octopus2023-inc/gensphere/blob/c8d156fcf530c9fac2cf2b2484929766b5b7ac31/gensphere/genflow.py#L355
/\bsetattr\(\s*obj\w*\s*,\s*\w+\s*,\s*\w+\s*\)/ /\bobj\[\w+\]\s*=|\bobj\.get\(/ /\bobj\s*=/ /\(\s*\w*(obj|parent|target|instance|dict|dest|conf)\w*/ language:Python  "
kim,314,https://github.com/mikeywaites/kim,N/A,N,,N,N,,"https://github.com/mikeywaites/kim/blob/ae55e3bd73057d2fa74865d8b2db8fd58a1297d6/kim/utils.py#L120 
/\bsetattr\(\s*\w*(obj|parent|target|instance|dict|dest|conf)\w*\s*,\s*\w+\s*,\s*\w+\s*\)/ /\b\w*obj\w*\[\w+\]\s*=|\b\w*obj\w*\.get\(/ /\b\w*obj\w*\s*=/"
meta-dataset,768,https://github.com/google-research/meta-dataset,N/A,N,,N,N,,"https://github.com/google-research/meta-dataset/blob/main/meta_dataset/models/experimental/reparameterizable_base_test.py#L193
/\bsetattr\(\s*target\s*,\s*\w+\s*,\s*\w+\s*\)/ /\btarget\[\w+\]\s*=|\btarget\.get\(/ /\btarget\s*=/ language:Python"
caliendo,15,https://github.com/buzzfeed/caliendo,N/A,N,,N,N,,"https://github.com/buzzfeed/caliendo/blob/1628a10f7782ad67c0422b5cbc9bf4979ac40abc/caliendo/pickling.py#L61
/\bsetattr\(\s*target\s*,\s*\w+\s*,\s*\w+\s*\)/ /\btarget\[\w+\]\s*=|\btarget\.get\(/ /\btarget\s*=/ language:Python   "
soil,28,https://github.com/gsi-upm/soil,N/A,N,,N,N,,"https://github.com/gsi-upm/soil/blob/25d042f16c9f90c1b1e6e29c4c2e2642bf850d04/soil/__init__.py#L238/%5Cbsetattr%5C(%5Cs*target%5Cs*,%5Cs*%5Cw+%5Cs*,%5Cs*%5Cw+%5Cs*%5C)/
/\btarget\[\w+\]\s*=|\btarget\.get\(/ /\btarget\s*=/ language:Python   "
GCFT,101,https://github.com/LagoLunatic/GCFT,N/A,N,,N,N,,"https://github.com/LagoLunatic/GCFT/blob/f413e92ee1eef43a28d4d059f286979d3c7e4963/gcft_ui/bunfoe_editor.py#L393
/\bsetattr\(instance\w*\s*,\s*\w+\s*,\s*\w+\s*\)/ /\binstance\w*\[\w+\]\s*=|\binstance\w*\.get\(/ /\binstance\w*\s*=/ language:Python  "
colony,23,https://github.com/hivesolutions/colony,N/A,N,,N,N,,"https://github.com/hivesolutions/colony/blob/f8147ce2a101c10dde96f81c7c9c51e58d6a250e/src/colony/libs/object_util.py#L240
flatten"
SAELens,564,https://github.com/jbloomAus/SAELens,N/A,N,,N,N,,"https://github.com/jbloomAus/SAELens/blob/4935b8351d8b2bdcbcc6b4f3a5c61b33ab82cf9e/sae_lens/analysis/hooked_sae_transformer.py#L36
set_deep_attr"
d2go,843,https://github.com/facebookresearch/d2go,N/A,N,,Attr,Attr,,"https://github.com/facebookresearch/d2go/blob/f4ac15674818ec3c78288eb9f700b0213005cc8b/d2go/runner/callbacks/quantization.py#L32
/\w+, _, \w+ = \w+\.rpartition\("".""\)/ /setattr/ language:python"
SimpleParsing,442,https://github.com/lebrice/SimpleParsing,N/A,N,,Attr,Attr,,"https://github.com/lebrice/SimpleParsing/blob/4388893b768495090dcd8dc7e399372d8e5829be/simple_parsing/utils.py#L701
Pypi 540,000 downloads: multi attribute set func"
uavSim,121,https://github.com/theilem/uavSim,N/A,N,,Attr,Attr,,"https://github.com/theilem/uavSim/blob/6b486dfd7ca5050751b40cbdacf71fa54d1a4d69/utils.py#L280
/getattr_recursive\(/ /isinstance\(.*dict/ language:python"
