Application,Downloads,URL,Codeql,Confirmed (Function-level),Func Name (Path),FP Reason,Types,,Input,,,Status,Comment,New
azure-mgmt-web,3504766,https://pypi.org/project/azure-mgmt-web,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-redis,3497912,https://pypi.org/project/azure-mgmt-redis,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-appconfiguration,3455426,https://pypi.org/project/azure-appconfiguration,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-dns,3401195,https://pypi.org/project/azure-mgmt-dns,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-servicebus,3362579,https://pypi.org/project/azure-mgmt-servicebus,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-msi,3311208,https://pypi.org/project/azure-mgmt-msi,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-eventhub,3297188,https://pypi.org/project/azure-mgmt-eventhub,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-cdn,3244849,https://pypi.org/project/azure-mgmt-cdn,Y,N/A,,,Attr,Attr,,,,,,Yes
qdrant-client,3232951,https://pypi.org/project/qdrant-client,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-monitor-query,3230658,https://pypi.org/project/azure-monitor-query,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-cognitiveservices,3204031,https://pypi.org/project/azure-mgmt-cognitiveservices,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-search,3203653,https://pypi.org/project/azure-mgmt-search,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-batch,3186489,https://pypi.org/project/azure-mgmt-batch,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-trafficmanager,3133847,https://pypi.org/project/azure-mgmt-trafficmanager,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-applicationinsights,3120613,https://pypi.org/project/azure-mgmt-applicationinsights,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-iothub,3103471,https://pypi.org/project/azure-mgmt-iothub,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-recoveryservicesbackup,3100576,https://pypi.org/project/azure-mgmt-recoveryservicesbackup,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-recoveryservices,3097259,https://pypi.org/project/azure-mgmt-recoveryservices,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-eventgrid,3061549,https://pypi.org/project/azure-mgmt-eventgrid,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-servicefabric,2976602,https://pypi.org/project/azure-mgmt-servicefabric,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-billing,2976237,https://pypi.org/project/azure-mgmt-billing,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-media,2975639,https://pypi.org/project/azure-mgmt-media,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-signalr,2944002,https://pypi.org/project/azure-mgmt-signalr,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-maps,2939492,https://pypi.org/project/azure-mgmt-maps,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-synapse-artifacts,2926234,https://pypi.org/project/azure-synapse-artifacts,Y,N/A,,,Attr,Attr,,,,,,Yes
azureml-core,2823309,https://pypi.org/project/azureml-core,Y,N/A,,,Attr,Attr,,import_aiohttp,,,,No
azureml-core,2823309,https://pypi.org/project/azureml-core,Y,N/A,,,Attr/Field,Attr/Field,,,,,,No
azureml-core,2823309,https://pypi.org/project/azureml-core,Y,N/A,,,Attr,Field,,,,,,No
pyinstrument,2689275,https://pypi.org/project/pyinstrument,Y,Y,,,Attr/Field,Attr/Field,Function,import_django,,,,No
lightning,2572006,https://pypi.org/project/lightning,Y,N/A,,,Attr,Attr,,import_pytorch_lightning|.get/.post/.api_route|import_fastapi,,,,Yes
azure-eventgrid,2562341,https://pypi.org/project/azure-eventgrid,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-search-documents,2507285,https://pypi.org/project/azure-search-documents,Y,N/A,,,Attr,Attr,,,,,,Yes
newrelic,2382150,https://pypi.org/project/newrelic,Y,N/A,,,Attr,Attr,,import_pyramid|import_cherrypy|import_flask|import_aiohttp|import_starlette|import_django|import_sanic|import_falcon|import_tornado,,,,Yes
fastcore,2231120,https://pypi.org/project/fastcore,Y,N/A,,,Attr/Field,Attr,,,,,,Yes
tf-keras,2218507,https://pypi.org/project/tf-keras,Y,Y,,,Attr/Field,Attr/Field,Function,,,,,Yes
azure-cli-core,2147843,https://pypi.org/project/azure-cli-core,Y,Y,,,Attr,Attr,,,,,,No
azure-cli-core,2147843,https://pypi.org/project/azure-cli-core,Y,Y,,,Attr/Field,Attr/Field,Local,,,,,No
azure-cli-core,2147843,https://pypi.org/project/azure-cli-core,Y,N/A,,,Attr/Field,Attr,,,,,,No
etils,2048504,https://pypi.org/project/etils,Y,N/A,,,Attr,Attr,,import_flask,,,,Yes
azure-mgmt-subscription,2041571,https://pypi.org/project/azure-mgmt-subscription,Y,N/A,,,Attr,Attr,,,,,,Yes
conan,1947743,https://pypi.org/project/conan,Y,N/A,,,Attr,Attr,,,,,,No
azure-mgmt-reservations,1769810,https://pypi.org/project/azure-mgmt-reservations,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-apimanagement,1732890,https://pypi.org/project/azure-mgmt-apimanagement,Y,N/A,,,Attr,Attr,,,,,,Yes
google-genai,1699489,https://pypi.org/project/google-genai,Y,N/A,,,Attr/Field,Field,,,,,,Yes
google-genai,1699489,https://pypi.org/project/google-genai,Y,N/A,,,Attr,Field,,,,,,Yes
azure-mgmt-privatedns,1696347,https://pypi.org/project/azure-mgmt-privatedns,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-cli,1669488,https://pypi.org/project/azure-cli,Y,N/A,,,Attr,Attr,,rule_instantiation,,,,Yes
azure-mgmt-security,1582500,https://pypi.org/project/azure-mgmt-security,Y,N/A,,,Attr,Attr,,,,,,Yes
flax,1578643,https://pypi.org/project/flax,Y,Y,,,Attr/Field,Attr/Field,Function,,,,,Yes
azure-schemaregistry,1577752,https://pypi.org/project/azure-schemaregistry,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-ai-documentintelligence,1515414,https://pypi.org/project/azure-ai-documentintelligence,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-appconfiguration,1504258,https://pypi.org/project/azure-mgmt-appconfiguration,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-powerbiembedded,1498700,https://pypi.org/project/azure-mgmt-powerbiembedded,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-netapp,1490791,https://pypi.org/project/azure-mgmt-netapp,Y,N/A,,,Attr,Attr,,,,,,Yes
