Application,Stars,URL,Codeql,Confirmed (Function-level),Func Name (Path),FP Reason (If Not),Types,,Input,,,Status,Comment,New
accelerate,8025,https://github.com/huggingface/accelerate,Y,Y,,,Attr,Attr,Function,,,Todo,library: load_checkpoint_in_model -> retie_parameters,
ragas,7467,https://github.com/explodinggradients/ragas,Y,N,,type check,Attr,Attr,,,,,,
modelscope,7070,https://github.com/modelscope/modelscope,Y,Y,,,Attr,Attr,Function,import_fastapi|import_starlette|.get/.post/.api_route|import_gradio,,,convert_sparse_network -> _setattr,
ScoutSuite,6779,https://github.com/nccgroup/ScoutSuite,Y,N,,,N,N,,import_cherrypy,,,,
ScoutSuite,6779,https://github.com/nccgroup/ScoutSuite,Y,N,,duplicated,Attr/Field,Field,Function,,,,,
ipex-llm,6770,https://github.com/intel-analytics/ipex-llm,Y,Y,,,Attr,Attr,Local,import_aiohttp|.get/.post/.api_route|import_gradio|import_starlette|import_fastapi,,,"TODO: PoC, load from model weights",
pyinstrument,6758,https://github.com/joerick/pyinstrument,Y,Y,,,Attr/Field,Attr/Field,Function,@get/post/route|import_litestar|.route|import_django|django_path|import_falcon|import_flask,,,,
sphinx,6645,https://github.com/sphinx-doc/sphinx,Y,N,,,Attr,Field,,,,,,
metaseq,6518,https://github.com/facebookresearch/metaseq,Y,Y,,,Attr,Attr,Function,import_flask|.route,,Todo,library: trainer.__init__ -> _set_module_by_path,
pytext,6336,https://github.com/facebookresearch/pytext,Y,Y,,,Attr,Attr,Local,import_flask|.route,,Todo,library: replace_param,
tensorpack,6302,https://github.com/tensorpack/tensorpack,Y,Y,,also has RCE vul,Attr,Attr,Local,,,Todo,library: update_args; where set value gets evalutated before assigned to target obj,
progressive_growing_of_gans,6102,https://github.com/tkarras/progressive_growing_of_gans,Y,Y,,,Attr,Attr,Local,,,,,
wfuzz,5977,https://github.com/xmendez/wfuzz,Y,N/A,,,Attr,Attr,,,,,,Yes
mmpose,5925,https://github.com/open-mmlab/mmpose,Y,Y,,,Attr,Attr,Local,import_gradio,,,,Yes
chainer,5897,https://github.com/chainer/chainer,Y,N,,test script,Attr,Attr,,,,,,
clearml,5726,https://github.com/allegroai/clearml,Y,Y,,,Attr/Field,Attr/Field,Function,.get/.post/.api_route|import_pytorch_lightning|import_gradio|import_starlette|import_fastapi,,,,
clearml,5726,https://github.com/allegroai/clearml,Y,N,,"key needs to be ""{}/{}""",Attr/Field,Field,,,,,,
clearml,5726,https://github.com/allegroai/clearml,Y,N,,"key needs to be ""{}/{}""",Attr,Field,,,,,,
litestar,5663,https://github.com/litestar-org/litestar,Y,N,,sanitization after recursive get,Attr/Field,Field,,,,,,
mesop,5659,https://github.com/google/mesop,Y,Y,,,Attr,Attr/Field,Remote,import_flask|import_mesop|.route,,Assigned,,
deepchem,5574,https://github.com/deepchem/deepchem,Y,Y,,,Attr/Field,Attr/Field,Function,import_flask|.route|import_pytorch_lightning,,Todo,Library: set_attr,
infinigen,5430,https://github.com/princeton-vl/infinigen,Y,Y,,,Attr,Attr,Function,,,,,
rqalpha,5413,https://github.com/ricequant/rqalpha,Y,N/A,,,Attr,Field,,,,,,Yes
Flashlight,5387,https://github.com/nate-parrott/Flashlight,Y,N,,,Attr,Attr,,,,,,
