Application,Stars,URL,Codeql,Confirmed (Function-level),Func Name (Path),FP Reason (If Not),Types,,Input,,,Status,Comment,New
teleport,1183,https://github.com/tp4a/teleport,Y,N,,ast,Attr,Attr,,import_tornado,,,,
chainerrl,1179,https://github.com/chainer/chainerrl,Y,N/A,,,Attr,Attr,,,,,,
AQLM,1177,https://github.com/Vahe1994/AQLM,Y,N/A,,,Attr,Attr,,,,,,Yes
training_extensions,1145,https://github.com/openvinotoolkit/training_extensions,Y,Y,,,Attr/Field,Attr/Field,Function,import_pytorch_lightning,,,,
nut,1138,https://github.com/blawar/nut,Y,N/A,,,Attr,Attr,,import_flask|.route,,,,
spyne,1132,https://github.com/arskom/spyne,Y,N,,not deep get observed,Attr,Attr,,route_name=|import_pyramid|add_route|.route|import_cherrypy|import_django|import_flask,,,,
spyne,1132,https://github.com/arskom/spyne,Y,N,,not deep get observed,Attr,Field,,route_name=|import_flask|import_cherrypy|import_pyramid|import_django|add_route|.route,,,remote,
xorbits,1130,https://github.com/xorbitsai/xorbits,Y,N/A,,,Attr,Attr,,import_tornado,,,key is not under control,
EPro-PnP,1114,https://github.com/tjiiv-cprg/EPro-PnP,Y,N/A,,,Attr,Attr,,,,,,Yes
steam,1111,https://github.com/ValvePython/steam,Y,N/A,,,Attr,Attr,,import_flask|.route,,,,
fastapi-amis-admin,1100,https://github.com/amisadmin/fastapi-amis-admin,Y,Y,,,Attr,Attr,Remote,import_fastapi|import_starlette,,Reported,report: https://gist.github.com/redacted/0bc18ea0dc4d0568c28ef5bc2f23e3b6,
ComfyUI-CogVideoXWrapper,1094,https://github.com/kijai/ComfyUI-CogVideoXWrapper,Y,N/A,,,Attr,Attr,,,,,,
noise2noise,1081,https://github.com/yu4u/noise2noise,Y,N/A,,,Attr,Attr,,,,,,
Pythonista,1080,https://github.com/tdamdouni/Pythonista,Y,Y,,"func 1 - perform a `.frame` attribute access operation after it's been deep-gotten through `eval`, which is potentially exploitable by finding and polluting a chainedly reached class having `frame` attribute, yet relatively hard to cause bad impact",Attr/Field,Attr,Function,import_aiohttp|.get/.post/.api_route|import_turbogears|import_bottle|@get/post/route|.route|import_cherrypy|import_django|rule_instantiation|import_flask,,,1 - IgnoreVal.build_view,Yes
seed-tts-eval,1068,https://github.com/BytedanceSpeech/seed-tts-eval,Y,N/A,,,Attr,Attr,,,,,,
modulus,1062,https://github.com/NVIDIA/modulus,Y,N/A,,,Attr,Attr,,,,,,Yes
convmixer,1062,https://github.com/locuslab/convmixer,Y,N/A,,,Attr,Attr,,,,,,
Diffusion-LM,1061,https://github.com/XiangLi1999/Diffusion-LM,Y,Y,,,Attr,Attr,Function,import_fastapi|import_starlette|import_streamlit,,,_load_state_dict_into_model_low_mem,Yes
sentiment-discovery,1061,https://github.com/NVIDIA/sentiment-discovery,Y,N/A,,,Attr,Attr,,,,,,
CrossHair,1038,https://github.com/pschanely/CrossHair,Y,N/A,,,Attr,Attr,,,,,,
CrossHair,1038,https://github.com/pschanely/CrossHair,Y,N/A,,,Attr,Field,,,,,,
CRNN_Tensorflow,1034,https://github.com/MaybeShewill-CV/CRNN_Tensorflow,Y,N/A,,,Attr/Field,Field,,,,,,Yes
CRNN_Tensorflow,1034,https://github.com/MaybeShewill-CV/CRNN_Tensorflow,Y,N/A,,,Attr,Field,,,,,,Yes
evotorch,1024,https://github.com/nnaisense/evotorch,Y,N/A,,,Attr,Attr,,,,,,
Kunyu,1014,https://github.com/knownsec/Kunyu,Y,N/A,,,Attr/Field,Attr,,,,,,Yes
OpenDelta,1007,https://github.com/thunlp/OpenDelta,Y,N/A,,,Attr,Attr,,,,,,
