Application,Stars,URL,Codeql,Confirmed (Function-level),Func Name (Path),FP Reason (If Not),Types,,Input,,,Status,Comment,New
vision-aided-gan,387,https://github.com/nupurkmr9/vision-aided-gan,Y,N/A,,,Attr,Attr,,,,,,Yes
Finetune_LLAMA,382,https://github.com/chaoyi-wu/Finetune_LLAMA,Y,N/A,,,Attr,Attr,,import_starlette|import_fastapi,,,,Yes
Finetune_LLAMA,382,https://github.com/chaoyi-wu/Finetune_LLAMA,Y,N/A,,,Attr,Attr,,import_starlette|import_fastapi,,,,Yes
mindone,378,https://github.com/mindspore-lab/mindone,Y,N/A,,,Attr,Attr,,import_aiohttp|import_flask,,,,Yes
DynamicRouting,377,https://github.com/Megvii-BaseDetection/DynamicRouting,Y,N/A,,,Attr,Attr,,,,,,Yes
DynamicRouting,377,https://github.com/Megvii-BaseDetection/DynamicRouting,Y,N/A,,,Attr,Attr,,,,,,Yes
mako,377,https://github.com/sqlalchemy/mako,Y,N/A,,,Attr,Attr,,import_django,,,,Yes
ChatFred,377,https://github.com/chrislemke/ChatFred,Y,N,,setting is operated on the attribute of self obj,,,,,,,,
text2cinemagraph,376,https://github.com/text2cinemagraph/text2cinemagraph,Y,N/A,,,Attr,Attr,,,,,,Yes
sparsezoo,375,https://github.com/neuralmagic/sparsezoo,Y,N,,"type checking before setAttr, need to be BaseModel.",N,N,,,,,,
VisionLLaMA,374,https://github.com/Meituan-AutoML/VisionLLaMA,Y,N/A,,,Attr,Attr,,,,,,Yes
VisionLLaMA,374,https://github.com/Meituan-AutoML/VisionLLaMA,Y,N/A,,,Attr,Attr,,,,,,Yes
graphql-core-legacy,373,https://github.com/graphql-python/graphql-core-legacy,Y,N,,key and value are not from function arguments.,N,N,,,,,,
graphql-core-legacy,373,https://github.com/graphql-python/graphql-core-legacy,Y,N,,"visitor, false positive",,,,,,,,
AgentPilot,365,https://github.com/jbexta/AgentPilot,Y,N/A,,,Attr,Attr,,import_fastapi|import_aiohttp|import_starlette|.get/.post/.api_route,,,,Yes
METER,363,https://github.com/zdou0830/METER,Y,N/A,,,Attr,Attr,,,,,,Yes
DAPPER,360,https://github.com/nansencenter/DAPPER,Y,N/A,,,Attr,Field,,,,,,Yes
Expy-Kit,360,https://github.com/pKrime/Expy-Kit,Y,N/A,,,Attr/Field,Attr,,,,,,Yes
pyvarinf,359,https://github.com/ctallec/pyvarinf,Y,N/A,,,Attr,Attr,,,,,,Yes
pyvarinf,359,https://github.com/ctallec/pyvarinf,Y,N/A,,,Attr,Attr,,,,,,Yes
RadFM,355,https://github.com/chaoyi-wu/RadFM,Y,N/A,,,Attr,Attr,,,,,,Yes
RadFM,355,https://github.com/chaoyi-wu/RadFM,Y,N/A,,,Attr,Attr,,,,,,Yes
oapi-sdk-python,354,https://github.com/larksuite/oapi-sdk-python,Y,N/A,,,Attr,Attr,,.route|import_flask,,,,Yes
plato,353,https://github.com/TL-System/plato,Y,N/A,,,Attr,Attr,,import_aiohttp,,,,Yes
plato,353,https://github.com/TL-System/plato,Y,N/A,,,Attr,Attr,,import_aiohttp,,,,Yes
clist,352,https://github.com/aropan/clist,Y,N/A,,,Attr,Field,,,,,,Yes
clist,352,https://github.com/aropan/clist,Y,N/A,,,Attr/Field,Field,,,,,,Yes
returnn,352,https://github.com/rwth-i6/returnn,Y,N,,key is not controllable,,,,,,,,
Qcodes,351,https://github.com/microsoft/Qcodes,Y,N/A,,,Attr,Attr,,,,,,Yes
unity-python,350,https://github.com/exodrifter/unity-python,Y,N,,"copy.py , false positive",,,,,,,,
TorchRay,345,https://github.com/facebookresearch/TorchRay,Y,N/A,,,Attr,Attr,,,,,,Yes
TorchRay,345,https://github.com/facebookresearch/TorchRay,Y,N/A,,,Attr,Attr,,,,,,Yes
Prism,344,https://github.com/PrismPipeline/Prism,Y,N/A,,,Attr,Attr,,,,,,Yes
Prism,344,https://github.com/PrismPipeline/Prism,Y,N/A,,,Attr,Attr,,,,,,Yes
cloudfoxable,341,https://github.com/BishopFox/cloudfoxable,Y,N/A,,,Attr,Attr,,import_django,,,,Yes
cloudfoxable,341,https://github.com/BishopFox/cloudfoxable,Y,N/A,,,Attr,Attr,,import_django,,,,Yes
xsdata,339,https://github.com/tefra/xsdata,Y,N/A,,,Attr,Attr,,,,,,Yes
davit,338,https://github.com/dingmyu/davit,Y,N/A,,,Attr,Attr,,,,,,Yes
RoboBEV,338,https://github.com/Daniel-xsy/RoboBEV,Y,N/A,,,Attr/Field,Field,,,,,,Yes
RoboBEV,338,https://github.com/Daniel-xsy/RoboBEV,Y,N/A,,,Attr,Field,,,,,,Yes
davit,338,https://github.com/dingmyu/davit,Y,N/A,,,Attr,Attr,,,,,,Yes
fiddle,338,https://github.com/google/fiddle,Y,N,,,,,,,,,,
tournesol,338,https://github.com/tournesol-app/tournesol,Y,Y,,,Attr/Field,Attr/Field,Function,cli tool,,,,
ppci,336,https://github.com/windelbouwman/ppci,Y,N/A,,,Attr,Attr,,.route|import_flask,,,,Yes
ULWGL,335,https://github.com/GloriousEggroll/ULWGL,Y,N/A,,,Attr,Attr,,,,,,Yes
esmerald,334,https://github.com/dymmond/esmerald,Y,N,,type checking.,N,N,,,,,,
jsonargparse,332,https://github.com/omni-us/jsonargparse,Y,N,,conflicted key has been protected.,N,N,,,,,,
jsonargparse,332,https://github.com/omni-us/jsonargparse,Y,N,,only set namespaces not value,,,,,,,,
quantized_distillation,331,https://github.com/antspy/quantized_distillation,Y,N/A,,,Attr,Attr,,,,,,Yes
RoboFlamingo,330,https://github.com/RoboFlamingo/RoboFlamingo,Y,N/A,,,Attr,Attr,,,,,,Yes
RoboFlamingo,330,https://github.com/RoboFlamingo/RoboFlamingo,Y,N/A,,,Attr,Attr,,,,,,Yes
MANIQA,329,https://github.com/IIGROUP/MANIQA,Y,N/A,,,Attr,Attr,,,,,,Yes
GeoPix,329,https://github.com/EnviralDesign/GeoPix,Y,N/A,,,Attr/Field,Attr,,,,,,Yes
MANIQA,329,https://github.com/IIGROUP/MANIQA,Y,N/A,,,Attr,Attr,,,,,,Yes
Sparsebit,328,https://github.com/megvii-research/Sparsebit,Y,N/A,,,Attr,Attr,,,,,,Yes
fast64,326,https://github.com/Fast-64/fast64,Y,N/A,,,Attr,Attr,,,,,,Yes
fast64,326,https://github.com/Fast-64/fast64,Y,N/A,,,Attr,Attr,,,,,,Yes
HIMLoco,324,https://github.com/OpenRobotLab/HIMLoco,Y,N/A,,,Attr,Attr,,,,,,Yes
HIMLoco,324,https://github.com/OpenRobotLab/HIMLoco,Y,N/A,,,Attr,Attr,,,,,,Yes
human2humanoid,323,https://github.com/LeCAR-Lab/human2humanoid,Y,N/A,,,Attr,Attr,,import_aiohttp,,,,Yes
human2humanoid,323,https://github.com/LeCAR-Lab/human2humanoid,Y,N/A,,,Attr,Attr,,import_aiohttp,,,,Yes
quibbler,320,https://github.com/Technion-Kishony-lab/quibbler,Y,N/A,,,Attr,Field,,.route|import_flask,,,,Yes
quibbler,320,https://github.com/Technion-Kishony-lab/quibbler,Y,N/A,,,Attr/Field,Field,,.route|import_flask,,,,Yes
quibbler,320,https://github.com/Technion-Kishony-lab/quibbler,Y,N/A,,,Attr/Field,Field,,.route|import_flask,,,,Yes
quibbler,320,https://github.com/Technion-Kishony-lab/quibbler,Y,N/A,,,Attr,Field,,.route|import_flask,,,,Yes
pycbc,320,https://github.com/gwastro/pycbc,Y,N,,,,,,,,,,
stark,317,https://github.com/snap-stanford/stark,Y,N/A,,,Attr,Attr,,,,,,Yes
OTAvatar,316,https://github.com/theEricMa/OTAvatar,Y,N/A,,,Attr,Attr,,,,,,Yes
pokitoki,316,https://github.com/nalgeon/pokitoki,Y,Y,,,Attr/Field,Attr/Field,Remote,,,,,
pokitoki,316,https://github.com/nalgeon/pokitoki,Y,Y,,duplicated with Github dataset.,Attr,Attr/Field,Remote,remote trigger,,,,
usaspending-api,314,https://github.com/fedspendingtransparency/usaspending-api,Y,N,,"simply set, no recursive operation",,,,,,,,
kim,314,https://github.com/mikeywaites/kim,N,N/A,,,N,N,,https://github.com/mikeywaites/kim/blob/ae55e3bd73057d2fa74865d8b2db8fd58a1297d6/kim/utils.py#L120,,,,
BMW-TensorFlow-Inference-API-GPU,312,https://github.com/BMW-InnovationLab/BMW-TensorFlow-Inference-API-GPU,Y,N/A,,,Attr,Attr,,import_starlette|.get/.post/.api_route|import_fastapi,,,,Yes
modifier_list,312,https://github.com/Symstract/modifier_list,Y,N/A,,,Attr,Attr,,,,,,Yes
BMW-TensorFlow-Inference-API-GPU,312,https://github.com/BMW-InnovationLab/BMW-TensorFlow-Inference-API-GPU,Y,N/A,,,Attr,Attr,,import_starlette|.get/.post/.api_route|import_fastapi,,,,Yes
modifier_list,312,https://github.com/Symstract/modifier_list,Y,N/A,,,Attr,Attr,,,,,,Yes
alf,308,https://github.com/HorizonRobotics/alf,Y,N/A,,,Attr,Field,,,,,,Yes
alf,308,https://github.com/HorizonRobotics/alf,Y,N/A,,,Attr/Field,Field,,,,,,Yes
alf,308,https://github.com/HorizonRobotics/alf,Y,N/A,,,Attr/Field,Field,,,,,,Yes
alf,308,https://github.com/HorizonRobotics/alf,Y,N/A,,,Attr,Field,,,,,,Yes
TransferAttack,306,https://github.com/Trustworthy-AI-Group/TransferAttack,Y,N/A,,,Attr,Attr,,,,,,Yes
TransferAttack,306,https://github.com/Trustworthy-AI-Group/TransferAttack,Y,N/A,,,Attr,Attr,,,,,,Yes
Flowformer,306,https://github.com/thuml/Flowformer,Y,N/A,,,Attr,Attr,,,,,,Yes
LAMM,305,https://github.com/OpenGVLab/LAMM,Y,N/A,,,Attr,Attr,,,,,,Yes
LAMM,305,https://github.com/OpenGVLab/LAMM,Y,N/A,,,Attr,Attr,,,,,,Yes
RGBD_Semantic_Segmentation_PyTorch,305,https://github.com/charlesCXK/RGBD_Semantic_Segmentation_PyTorch,Y,N,,amp library: set_fn false positive,,,,,,,,
antgo,304,https://github.com/jianzfb/antgo,Y,N/A,,,Attr,Attr,,import_tornado|import_starlette|.get/.post/.api_route|import_fastapi,,,,Yes
VSP-LLM,303,https://github.com/Sally-SH/VSP-LLM,Y,N/A,,,Attr,Attr,,,,,,Yes
netbox-sync,303,https://github.com/bb-Ricardo/netbox-sync,Y,N/A,,,Attr,Field,,,,,,Yes
netbox-sync,303,https://github.com/bb-Ricardo/netbox-sync,Y,N/A,,,Attr/Field,Field,,,,,,Yes
VSP-LLM,303,https://github.com/Sally-SH/VSP-LLM,Y,N/A,,,Attr,Attr,,,,,,Yes
netbox-sync,303,https://github.com/bb-Ricardo/netbox-sync,Y,N/A,,,Attr/Field,Field,,,,,,Yes
netbox-sync,303,https://github.com/bb-Ricardo/netbox-sync,Y,N/A,,,Attr,Field,,,,,,Yes
Wheel-Legged-Gym,301,https://github.com/clearlab-sustech/Wheel-Legged-Gym,Y,N/A,,,Attr,Attr,,,,,,Yes
Wheel-Legged-Gym,301,https://github.com/clearlab-sustech/Wheel-Legged-Gym,Y,N/A,,,Attr,Attr,,,,,,Yes
SeaFormer,301,https://github.com/fudan-zvg/SeaFormer,Y,N/A,,,Attr,Attr,,,,,,Yes
OPERA,299,https://github.com/shikiw/OPERA,Y,N/A,,,Attr,Attr,,import_starlette|import_fastapi,,,,Yes
Generalizable-Mixture-of-Experts,298,https://github.com/Luodian/Generalizable-Mixture-of-Experts,Y,N/A,,,Attr,Attr,,,,,,Yes
mega,298,https://github.com/facebookresearch/mega,Y,N/A,,,Attr,Attr,,,,,,Yes
Generalizable-Mixture-of-Experts,298,https://github.com/Luodian/Generalizable-Mixture-of-Experts,Y,N/A,,,Attr,Attr,,,,,,Yes
mega,298,https://github.com/facebookresearch/mega,Y,N/A,,,Attr,Attr,,,,,,Yes
demo-face-gan,298,https://github.com/streamlit/demo-face-gan,Y,N/A,,,Attr,Attr,,,,,,Yes
pydantic-to-typescript,296,https://github.com/phillipdupuis/pydantic-to-typescript,Y,N,,"simply set, no recursive operation",,,,,,,,
ouroboros,294,https://github.com/beeware/ouroboros,Y,N/A,,,Attr,Attr,,,,,,Yes
ouroboros,294,https://github.com/beeware/ouroboros,Y,N/A,,,Attr,Attr,,,,,,Yes
modal-client,294,https://github.com/modal-labs/modal-client,Y,N/A,,,Attr,Attr,,import_aiohttp|.route|import_flask|import_fastapi,,,,Yes
AMP_for_hardware,293,https://github.com/Alescontrela/AMP_for_hardware,Y,N/A,,,Attr,Attr,,,,,,Yes
AMP_for_hardware,293,https://github.com/Alescontrela/AMP_for_hardware,Y,N/A,,,Attr,Attr,,,,,,Yes
ApiTestManage,292,https://github.com/pencil1/ApiTestManage,Y,N/A,,,Attr/Field,Field,,.route|import_flask,,,,Yes
ApiTestManage,292,https://github.com/pencil1/ApiTestManage,Y,N/A,,,Attr,Field,,.route|import_flask,,,,Yes
PainlessInferenceAcceleration,291,https://github.com/alipay/PainlessInferenceAcceleration,Y,N/A,,,Attr,Attr,,import_aiohttp|.get/.post/.api_route|import_fastapi,,,,Yes
PainlessInferenceAcceleration,291,https://github.com/alipay/PainlessInferenceAcceleration,Y,N/A,,,Attr,Attr,,import_aiohttp|.get/.post/.api_route|import_fastapi,,,,Yes
mganprior,291,https://github.com/genforce/mganprior,Y,N/A,,,Attr,Attr,,,,,,Yes
auto-round,291,https://github.com/intel/auto-round,Y,N/A,,,Attr,Attr,,,,,,Yes
OmniCorpus,289,https://github.com/OpenGVLab/OmniCorpus,Y,N/A,,,Attr,Attr,,.get/.post/.api_route|import_fastapi,,,,Yes
OmniCorpus,289,https://github.com/OpenGVLab/OmniCorpus,Y,N/A,,,Attr,Attr,,.get/.post/.api_route|import_fastapi,,,,Yes
pyfluent,287,https://github.com/ansys/pyfluent,Y,N/A,,,Attr,Attr,,,,,,Yes
pyfluent,287,https://github.com/ansys/pyfluent,Y,N/A,,,Attr,Attr,,,,,,Yes
OpenPype,287,https://github.com/ynput/OpenPype,Y,N/A,,,Attr,Attr,,import_tornado|import_sanic|add_route|route_name=|import_aiohttp,,,,Yes
iambic,286,https://github.com/noqdev/iambic,Y,N/A,,,Attr,Attr,,import_aiohttp|.get/.post/.api_route,,,,Yes
AdaLoRA,285,https://github.com/QingruZhang/AdaLoRA,Y,N/A,,,Attr,Attr,,import_starlette|import_fastapi,,,,Yes
AdaLoRA,285,https://github.com/QingruZhang/AdaLoRA,Y,N/A,,,Attr,Attr,,import_starlette|import_fastapi,,,,Yes
nebari,285,https://github.com/nebari-dev/nebari,Y,Y,,,Attr/Field,Attr/Field,Function,,,,,
nebari,285,https://github.com/nebari-dev/nebari,Y,Y,,duplicated with Zhengyu's 100-1k codeql dataset.,,,,,,,,
pyDatalog,283,https://github.com/pcarbonn/pyDatalog,Y,N/A,,,Attr,Attr,,,,,,Yes
image-sculpting,283,https://github.com/vision-x-nyu/image-sculpting,Y,N/A,,,Attr/Field,Attr,,,,,,Yes
ptlflow,282,https://github.com/hmorimitsu/ptlflow,Y,N/A,,,Attr,Attr,,,,,,Yes
Watcher3,281,https://github.com/nosmokingbandit/Watcher3,Y,N/A,,,Attr,Attr,,import_cherrypy,,,,Yes
ray-optics,280,https://github.com/mjhoptics/ray-optics,Y,N,,"simply set, no recursive operation",,,,,,,,
pytorch,279,https://github.com/Ascend/pytorch,Y,N/A,,,Attr,Attr,,,,,,Yes
pytorch,279,https://github.com/Ascend/pytorch,Y,N/A,,,Attr,Attr,,,,,,Yes
Intelli-Agent,279,https://github.com/aws-samples/Intelli-Agent,Y,N/A,,,Attr/Field,Field,,.route|import_flask|.get/.post/.api_route|import_fastapi,,,,Yes
Intelli-Agent,279,https://github.com/aws-samples/Intelli-Agent,Y,N/A,,,Attr,Field,,.route|import_flask|.get/.post/.api_route|import_fastapi,,,,Yes
Octopus,275,https://github.com/dongyh20/Octopus,Y,N/A,,,Attr,Attr,,,,,,Yes
Octopus,275,https://github.com/dongyh20/Octopus,Y,N/A,,,Attr,Attr,,,,,,Yes
ColugoMum,275,https://github.com/thomas-yanxin/ColugoMum,Y,N/A,,,Attr,Attr,,import_tornado|django_re_path|django_path|import_django,,,,Yes
breaching,274,https://github.com/JonasGeiping/breaching,Y,N/A,,,Attr,Attr,,,,,,Yes
breaching,274,https://github.com/JonasGeiping/breaching,Y,N/A,,,Attr,Attr,,,,,,Yes
Addons-And-Tools-For-Blender-miHoYo-Shaders,274,https://github.com/michael-gh1/Addons-And-Tools-For-Blender-miHoYo-Shaders,Y,N/A,,,Attr,Attr,,,,,,Yes
proton-vpn-gtk-app,273,https://github.com/ProtonVPN/proton-vpn-gtk-app,Y,N/A,,,Attr,Attr,,,,,,Yes
proton-vpn-gtk-app,273,https://github.com/ProtonVPN/proton-vpn-gtk-app,Y,N/A,,,Attr,Attr,,,,,,Yes
Aslan,273,https://github.com/project-aslan/Aslan,Y,N/A,,,Attr,Attr,,,,,,Yes
django-auth-adfs,272,https://github.com/snok/django-auth-adfs,Y,N/A,,,Attr,Attr,,django_path|django_re_path|import_django,,,,Yes
QPyTorch,271,https://github.com/Tiiiger/QPyTorch,Y,N,,key is not under control.,N,N,,,,,,
VALOR,271,https://github.com/TXH-mercury/VALOR,Y,N,,amp library: set_fn false positive,,,,,,,,
MeasureIt_ARCH,269,https://github.com/kevancress/MeasureIt_ARCH,Y,N/A,,,Attr,Attr,,,,,,Yes
ABS,266,https://github.com/LeCAR-Lab/ABS,Y,N/A,,,Attr,Attr,,,,,,Yes
DriveArena,266,https://github.com/PJLab-ADG/DriveArena,Y,N,,,Attr,Attr,,import_tornado|.get/.post/.api_route|import_fastapi,,,,Yes
ABS,266,https://github.com/LeCAR-Lab/ABS,Y,N/A,,,Attr,Attr,,,,,,Yes
DriveArena,266,https://github.com/PJLab-ADG/DriveArena,Y,N,,,Attr,Attr,,import_tornado|.get/.post/.api_route|import_fastapi,,,,Yes
DriveArena,266,https://github.com/PJLab-ADG/DriveArena,Y,Y,recursive_eval(): \DriveArena\WorldDreamer\third_party\bevfusion\mmdet3d\utils\config.py,,Attr/Field,Attr/Field,,import_tornado|.get/.post/.api_route|import_fastapi,,,eval(),Yes
DriveArena,266,https://github.com/PJLab-ADG/DriveArena,Y,N,,,Attr,Field,,import_tornado|.get/.post/.api_route|import_fastapi,,,,Yes
Intranet-Penetration,266,https://github.com/yuxiaokui/Intranet-Penetration,Y,N,,,,,,,,,,
MC-Planner,263,https://github.com/CraftJarvis/MC-Planner,Y,N/A,,,Attr,Attr,,,,,,Yes
MC-Planner,263,https://github.com/CraftJarvis/MC-Planner,Y,N/A,,,Attr,Attr,,,,,,Yes
LoRAMoE,262,https://github.com/Ablustrund/LoRAMoE,Y,N/A,,,Attr,Attr,,import_starlette|import_fastapi,,,,Yes
LoRAMoE,262,https://github.com/Ablustrund/LoRAMoE,Y,N/A,,,Attr,Attr,,import_starlette|import_fastapi,,,,Yes
es-monitor,262,https://github.com/taowen/es-monitor,Y,N/A,,,Attr/Field,Field,,.route|import_flask,,,,Yes
es-monitor,262,https://github.com/taowen/es-monitor,Y,N/A,,,Attr,Field,,.route|import_flask,,,,Yes
sige,261,https://github.com/lmxyy/sige,Y,N/A,,,Attr,Attr,,,,,,Yes
klara,261,https://github.com/usagitoneko97/klara,Y,N/A,,,Attr,Attr,,.route|import_flask,,,,Yes
zerorunner,261,https://github.com/baizunxian/zerorunner,Y,N,,setting is operated on the attribute of self obj,,,,,,,,
deepracer-core,259,https://github.com/aws-deepracer-community/deepracer-core,Y,N/A,,,Attr/Field,Field,,,,,,Yes
deepracer-core,259,https://github.com/aws-deepracer-community/deepracer-core,Y,N/A,,,Attr,Field,,,,,,Yes
dbnd,258,https://github.com/databand-ai/dbnd,Y,N,,"simply set, no recursive operation:",,,,,,,,
DNFCalculating,257,https://github.com/dnfcalc/DNFCalculating,Y,N,,,,,,,,,,
DeRy,256,https://github.com/Adamdad/DeRy,Y,N/A,,,Attr,Attr,,,,,,Yes
DeRy,256,https://github.com/Adamdad/DeRy,Y,N/A,,,Attr,Attr,,,,,,Yes
Dataset_Quantization,256,https://github.com/magic-research/Dataset_Quantization,Y,N/A,,,Attr,Attr,,,,,,Yes
ChatLearn,254,https://github.com/alibaba/ChatLearn,Y,N/A,,,Attr,Attr,,,,,,Yes
ChatLearn,254,https://github.com/alibaba/ChatLearn,Y,N/A,,,Attr,Attr,,,,,,Yes
fld,254,https://github.com/mit-biomimetics/fld,Y,N/A,,,Attr,Attr,,,,,,Yes
PyFEM,251,https://github.com/jjcremmers/PyFEM,Y,N/A,,,Attr,Attr,,,,,,Yes
RSMamba,249,https://github.com/KyanChen/RSMamba,Y,N/A,,,Attr,Attr,,,,,,Yes
RSMamba,249,https://github.com/KyanChen/RSMamba,Y,N/A,,,Attr,Attr,,,,,,Yes
StockFormer,249,https://github.com/gsyyysg/StockFormer,Y,N/A,,,Attr,Attr,,,,,,Yes
pycopy-lib,249,https://github.com/pfalcon/pycopy-lib,Y,N,,"copy.py , false positive",,,,,,,,
Person-Detection-and-Tracking,248,https://github.com/ambakick/Person-Detection-and-Tracking,Y,N/A,,,Attr,Attr,,,,,,Yes
Dynamic-Vision-Transformer,248,https://github.com/blackfeather-wang/Dynamic-Vision-Transformer,Y,N/A,,,Attr,Attr,,,,,,Yes
Person-Detection-and-Tracking,248,https://github.com/ambakick/Person-Detection-and-Tracking,Y,N/A,,,Attr,Attr,,,,,,Yes
Dynamic-Vision-Transformer,248,https://github.com/blackfeather-wang/Dynamic-Vision-Transformer,Y,N/A,,,Attr,Attr,,,,,,Yes
MAE-pytorch,247,https://github.com/FlyEgle/MAE-pytorch,Y,N/A,,,Attr,Attr,,,,,,Yes
MineCLIP,247,https://github.com/MineDojo/MineCLIP,Y,N/A,,,Attr,Attr,,,,,,Yes
MAE-pytorch,247,https://github.com/FlyEgle/MAE-pytorch,Y,N/A,,,Attr,Attr,,,,,,Yes
MineCLIP,247,https://github.com/MineDojo/MineCLIP,Y,N/A,,,Attr,Attr,,,,,,Yes
MimicPlay,246,https://github.com/j96w/MimicPlay,Y,N/A,,,Attr,Attr,,,,,,Yes
TBGAN,245,https://github.com/barisgecer/TBGAN,Y,N/A,,,Attr,Attr,,,,,,Yes
TBGAN,245,https://github.com/barisgecer/TBGAN,Y,N/A,,,Attr,Attr,,,,,,Yes
VoiceprintRecognition-PaddlePaddle,245,https://github.com/yeyupiaoling/VoiceprintRecognition-PaddlePaddle,Y,N/A,,,Attr,Attr,,,,,,Yes
SN-Net,245,https://github.com/ziplab/SN-Net,Y,N/A,,,Attr,Attr,,,,,,Yes
Emotional-Support-Conversation,245,https://github.com/thu-coai/Emotional-Support-Conversation,Y,N,,amp library: set_fn false positive,,,,,,,,
spatula,245,https://github.com/jamesturk/spatula,Y,N,,"simply set, no recursive operation",,,,,,,,
torch-model-compression,244,https://github.com/THU-MIG/torch-model-compression,Y,N/A,,,Attr,Attr,,,,,,Yes
torch-model-compression,244,https://github.com/THU-MIG/torch-model-compression,Y,N/A,,,Attr,Attr,,,,,,Yes
varuna,244,https://github.com/microsoft/varuna,Y,N/A,,,Attr,Attr,,,,,,Yes
TPN,243,https://github.com/csyanbin/TPN,Y,N/A,,,Attr,Attr,,,,,,Yes
gftools,242,https://github.com/googlefonts/gftools,Y,N,,only one layer.,N,N,,,,,,
CUDA-FastBEV,241,https://github.com/Mandylove1993/CUDA-FastBEV,Y,N/A,,,Attr,Attr,,,,,,Yes
CUDA-FastBEV,241,https://github.com/Mandylove1993/CUDA-FastBEV,Y,N/A,,,Attr,Attr,,,,,,Yes
project-azua,241,https://github.com/microsoft/project-azua,Y,N/A,,,Attr,Attr,,,,,,Yes
InterpretDL,240,https://github.com/PaddlePaddle/InterpretDL,Y,N/A,,,Attr,Attr,,,,,,Yes
Detection,240,https://github.com/librahfacebook/Detection,Y,N/A,,,Attr,Attr,,,,,,Yes
StyleGAN_LatentEditor,240,https://github.com/pacifinapacific/StyleGAN_LatentEditor,Y,N/A,,,Attr,Attr,,,,,,Yes
neurallambda,239,https://github.com/neurallambda/neurallambda,Y,N/A,,,Attr,Attr,,,,,,Yes
expressive-humanoid,237,https://github.com/chengxuxin/expressive-humanoid,Y,N/A,,,Attr,Attr,,import_flask|dot_add_url_rule,,,,Yes
expressive-humanoid,237,https://github.com/chengxuxin/expressive-humanoid,Y,N/A,,,Attr,Attr,,import_flask|dot_add_url_rule,,,,Yes
SwinBERT,237,https://github.com/microsoft/SwinBERT,Y,N/A,,,Attr,Attr,,,,,,Yes
HumanBench,237,https://github.com/OpenGVLab/HumanBench,Y,N,,"set_func, false positive",,,,,,,,
EfficientQAT,236,https://github.com/OpenGVLab/EfficientQAT,Y,N/A,,,Attr,Attr,,,,,,Yes
EfficientQAT,236,https://github.com/OpenGVLab/EfficientQAT,Y,N/A,,,Attr,Attr,,,,,,Yes
jupylet,234,https://github.com/nir/jupylet,Y,N/A,,,Attr,Attr,,,,,,Yes
galaxy_ng,233,https://github.com/ansible/galaxy_ng,Y,N/A,,,Attr,Attr,,import_flask|django_path|import_django|import_aiohttp|.route,,,,Yes
galaxy_ng,233,https://github.com/ansible/galaxy_ng,Y,N/A,,,Attr,Attr,,import_flask|django_path|import_django|import_aiohttp|.route,,,,Yes
chirp,233,https://github.com/9b/chirp,Y,N/A,,,Attr,Attr,,,,,,Yes
TRISIS-TRITON-HATMAN,233,https://github.com/MDudek-ICS/TRISIS-TRITON-HATMAN,Y,N,,,,,,,,,,
I-BERT,231,https://github.com/kssteven418/I-BERT,Y,N/A,,,Attr,Attr,,import_tornado,,,,Yes
aerial_wildlife_detection,230,https://github.com/microsoft/aerial_wildlife_detection,Y,N/A,,,Attr,Attr,,.route|import_bottle|.get/.post/.api_route,,,,Yes
SiamR-CNN,229,https://github.com/VisualComputingInstitute/SiamR-CNN,Y,N/A,,,Attr,Attr,,,,,,Yes
SiamR-CNN,229,https://github.com/VisualComputingInstitute/SiamR-CNN,Y,N/A,,,Attr,Attr,,,,,,Yes
sonic-sound-picture,227,https://github.com/s-a/sonic-sound-picture,N,N/A,,,N,N,,https://github.com/s-a/sonic-sound-picture/blob/20c9ccf45299515eb007e22be510f8b1bc9e962c/electron-app/src/static/render.py#L412,,,,
CLIP-goes-3D,226,https://github.com/deeptibhegde/CLIP-goes-3D,Y,N/A,,,Attr,Attr,,,,,,Yes
CLIP-goes-3D,226,https://github.com/deeptibhegde/CLIP-goes-3D,Y,N/A,,,Attr,Attr,,,,,,Yes
bisenetv2-tensorflow,225,https://github.com/MaybeShewill-CV/bisenetv2-tensorflow,Y,N/A,,,Attr/Field,Field,,,,,,Yes
bisenetv2-tensorflow,225,https://github.com/MaybeShewill-CV/bisenetv2-tensorflow,Y,N/A,,,Attr,Field,,,,,,Yes
vlcp,224,https://github.com/hubo1016/vlcp,Y,N/A,,,Attr,Attr,,,,,,Yes
tileGAN,223,https://github.com/afruehstueck/tileGAN,Y,N/A,,,Attr,Attr,,,,,,Yes
tileGAN,223,https://github.com/afruehstueck/tileGAN,Y,N/A,,,Attr,Attr,,,,,,Yes
arches,221,https://github.com/archesproject/arches,Y,N/A,,,Attr,Field,,django_re_path|django_path|import_django,,,,Yes
Neural-Texture-Extraction-Distribution,221,https://github.com/RenYurui/Neural-Texture-Extraction-Distribution,Y,N/A,,,Attr,Attr,,,,,,Yes
arches,221,https://github.com/archesproject/arches,Y,N/A,,,Attr,Field,,django_re_path|django_path|import_django,,,,Yes
records-research,220,https://github.com/Google-Health/records-research,Y,N/A,,,Attr,Attr,,,,,,Yes
records-research,220,https://github.com/Google-Health/records-research,Y,N/A,,,Attr,Attr,,,,,,Yes
engineai_legged_gym,219,https://github.com/engineai-robotics/engineai_legged_gym,Y,N/A,,,Attr,Attr,,,,,,Yes
