Application,Stars,URL,Codeql,Confirmed (Function-level),Func Name (Path),FP Reason (If Not),Types,,Input,,,Status,Comment,New
meta-dataset,768,https://github.com/google-research/meta-dataset,N,N/A,,,N,N,,https://github.com/google-research/meta-dataset/blob/main/meta_dataset/models/experimental/reparameterizable_base_test.py#L193,,,,
OmniQuant,745,https://github.com/OpenGVLab/OmniQuant,Y,N/A,,,Attr,Attr,,,,,,Yes
OmniQuant,745,https://github.com/OpenGVLab/OmniQuant,Y,N/A,,,Attr,Attr,,,,,,Yes
Kaggler,744,https://github.com/jeongyoonlee/Kaggler,Y,N,,fn:set_builtin,,,,,,,,
PiPPy,730,https://github.com/pytorch/PiPPy,Y,N/A,,,Attr,Attr,,,,,,Yes
aiogram_dialog,720,https://github.com/Tishka17/aiogram_dialog,Y,N,,only setattr for Bot class,,,,,,,,
nyuntam,712,https://github.com/nyunAI/nyuntam,Y,N/A,,,Attr,Attr,,,,,,Yes
kan-gpt,711,https://github.com/AdityaNG/kan-gpt,Y,N/A,,,Attr,Attr,,,,,,Yes
kan-gpt,711,https://github.com/AdityaNG/kan-gpt,Y,N/A,,,Attr,Attr,,,,,,Yes
JSPyBridge,709,https://github.com/extremeheat/JSPyBridge,Y,Y,,,Attr/Field,Attr/Field,Function,"mothly downlaod 19,449: multiple pollution",,,,
SegmenTron,706,https://github.com/LikeLy-Journey/SegmenTron,Y,N/A,,,Attr/Field,Field,,,,,,Yes
SegmenTron,706,https://github.com/LikeLy-Journey/SegmenTron,Y,N/A,,,Attr,Field,,,,,,Yes
anole,699,https://github.com/GAIR-NLP/anole,Y,N/A,,,Attr,Field,,.get/.post/.api_route|import_starlette|import_flask|import_fastapi|.route,,,,Yes
anole,699,https://github.com/GAIR-NLP/anole,Y,N/A,,,Attr,Attr,,.get/.post/.api_route|import_starlette|import_flask|import_fastapi|.route,,,,Yes
anole,699,https://github.com/GAIR-NLP/anole,Y,N/A,,,Attr/Field,Field,,.get/.post/.api_route|import_starlette|import_flask|import_fastapi|.route,,,,Yes
anole,699,https://github.com/GAIR-NLP/anole,Y,N/A,,,Attr/Field,Attr/Field,,.get/.post/.api_route|import_starlette|import_flask|import_fastapi|.route,,,,Yes
anole,699,https://github.com/GAIR-NLP/anole,Y,N/A,,,Attr,Attr,,.get/.post/.api_route|import_starlette|import_flask|import_fastapi|.route,,,,Yes
anole,699,https://github.com/GAIR-NLP/anole,Y,N/A,,,Attr/Field,Attr/Field,,.get/.post/.api_route|import_starlette|import_flask|import_fastapi|.route,,,,Yes
anole,699,https://github.com/GAIR-NLP/anole,Y,N/A,,,Attr/Field,Field,,.get/.post/.api_route|import_starlette|import_flask|import_fastapi|.route,,,,Yes
