repo_name,stars,url,Confirmed,CodeQL,FP Reason,GetType,SetType
AliceMind,1983,https://github.com/alibaba/AliceMind,N/A,Y,,Attr,Attr
transparent_latent_gan,1972,https://github.com/SummitKwan/transparent_latent_gan,N/A,Y,,Attr,Attr
helm,1967,https://github.com/stanford-crfm/helm,N/A,Y,,Attr,Attr
godot-python,1907,https://github.com/touilleMan/godot-python,N/A,Y,,Attr,Attr
OnmyojiAutoScript,1891,https://github.com/runhey/OnmyojiAutoScript,N/A,Y,,Attr,Attr
evennia,1832,https://github.com/evennia/evennia,N/A,Y,,Attr,Attr
Medusa,1813,https://github.com/pymedusa/Medusa,N/A,Y,,Attr,Attr
AutoAWQ,1806,https://github.com/casper-hansen/AutoAWQ,N/A,Y,,Attr,Attr
EasyCV,1805,https://github.com/alibaba/EasyCV,N/A,Y,,Attr,Attr
PokemonGo-DesktopMap,1762,https://github.com/mchristopher/PokemonGo-DesktopMap,N/A,Y,,Attr,Attr
hangups,1714,https://github.com/tdryer/hangups,N/A,Y,,Attr,Attr
distilabel,1708,https://github.com/argilla-io/distilabel,N/A,Y,,Attr,Attr
ormar,1681,https://github.com/collerek/ormar,N/A,Y,,Attr,Attr
generative-ai-python,1665,https://github.com/google-gemini/generative-ai-python,N/A,Y,,Attr,Attr
fast-transformers,1652,https://github.com/idiap/fast-transformers,N/A,Y,,Attr,Attr
intel-extension-for-pytorch,1638,https://github.com/intel/intel-extension-for-pytorch,N/A,Y,,Attr,Attr
ao,1638,https://github.com/pytorch/ao,N/A,Y,,Attr,Attr
Olive,1634,https://github.com/microsoft/Olive,N/A,Y,,Attr,Attr
TransformerLens,1632,https://github.com/TransformerLensOrg/TransformerLens,N/A,Y,,Attr,Attr
codeshell,1617,https://github.com/WisdomShell/codeshell,N/A,Y,,Attr,Attr
TimeSformer,1573,https://github.com/facebookresearch/TimeSformer,N/A,Y,,Attr,Attr
interfacegan,1509,https://github.com/genforce/interfacegan,N/A,Y,,Attr,Attr
mmrazor,1489,https://github.com/open-mmlab/mmrazor,N/A,Y,,Attr,Attr
Multimodal-GPT,1478,https://github.com/open-mmlab/Multimodal-GPT,N/A,Y,,Attr,Attr
piccolo,1460,https://github.com/piccolo-orm/piccolo,N/A,Y,,Attr,Attr
OpenNMT-tf,1458,https://github.com/OpenNMT/OpenNMT-tf,N/A,Y,,Attr/Field,Attr
legged_gym,1450,https://github.com/leggedrobotics/legged_gym,N/A,Y,,Attr,Attr
NeuralSpeech,1395,https://github.com/microsoft/NeuralSpeech,N/A,Y,,Attr,Attr
building_tools,1376,https://github.com/ranjian0/building_tools,N/A,Y,,Attr,Attr
python-opcua,1374,https://github.com/FreeOpcUa/python-opcua,N/A,Y,,Attr,Attr
Lidar_AI_Solution,1349,https://github.com/NVIDIA-AI-IOT/Lidar_AI_Solution,N/A,Y,,Attr,Attr
