Application,Downloads,URL,Codeql,Confirmed (Function-level),Func Name (Path),FP Reason (If Not),Types,,Input,,,Status,Comment,New
sample-factory,848,https://github.com/alex-petrenko/sample-factory,Y,N/A,"safe_get:sf_examples/vizdoom/doom/multiplayer/doom_multiagent_wrapper.py,_set_env_attr:sf_examples/vizdoom/doom/multiplayer/doom_multiagent_wrapper.py",,Attr,Attr,,,,,,Yes
sample-factory,848,https://github.com/alex-petrenko/sample-factory,Y,N/A,,,Attr,Attr,,,,,,Yes
vega,848,https://github.com/huawei-noah/vega,Y,N/A,"change_module:vega/algorithms/nas/opt_nas/ops_nas.py,change_module:vega/model_zoo/model_zoo.py",,Attr,Attr,,import_flask|import_flask_restful,,,,Yes
wiktextract,843,https://github.com/tatuylonen/wiktextract,Y,N,,only one layer.,N,N,,,,,,
d2go,843,https://github.com/facebookresearch/d2go,N,N/A,"rgetattr:d2go/runner/callbacks/quantization.py,_getattr:d2go/runner/callbacks/quantization.py",N,Attr,Attr,,,,,,
PPASR,832,https://github.com/yeyupiaoling/PPASR,Y,N/A,__init__:ppasr/trainer.py,,Attr,Attr,,import_fastapi|import_starlette|.get/.post/.api_route,,,,Yes
DrEureka,829,https://github.com/eureka-research/DrEureka,Y,N/A,"set_cfg_recursive:forward_locomotion/scripts/play.py,set_cfg_recursive:globe_walking/scripts/play.py",,Attr,Attr,,,,,,Yes
DrEureka,829,https://github.com/eureka-research/DrEureka,Y,N/A,,,Attr,Attr,,,,,,Yes
qdrant-client,825,https://github.com/qdrant/qdrant-client,Y,N/A,_process_model:qdrant_client/embed/model_embedder.py,,Attr,Attr,,,,,,Yes
iommi,821,https://github.com/iommirocks/iommi,Y,N/A,"setattr_path:iommi/declarative/namespace.py,file_write_to_instance:iommi/form.py",,Attr,Attr,,import_flask|django_path|import_django,,,,Yes
differentiable_volumetric_rendering,806,https://github.com/autonomousvision/differentiable_volumetric_rendering,Y,N,,dst obj not controllable,,,,,,,,
ProAgent,801,https://github.com/OpenBMB/ProAgent,Y,N/A,merge_from_args:ProAgent/config.py,,Attr,Attr,,,,,,Yes
ProAgent,801,https://github.com/OpenBMB/ProAgent,Y,N/A,,,Attr,Attr,,,,,,Yes
ktransformers,801,https://github.com/kvcache-ai/ktransformers,Y,N/A,set_module:ktransformers/util/utils.py,,Attr,Attr,,import_fastapi|.get/.post/.api_route,,,,Yes
MagicDrive,789,https://github.com/cure-lab/MagicDrive,Y,N/A,_set_module:magicdrive/misc/common.py,,Attr,Attr,,import_gradio,,,,Yes
MagicDrive,789,https://github.com/cure-lab/MagicDrive,Y,N/A,,,Attr,Attr,,,,,,Yes
unprompted,785,https://github.com/ThereforeGames/unprompted,Y,N,,amp library: set_fn false positive,,,,,,,,
parallelformers,781,https://github.com/tunib-ai/parallelformers,Y,N/A,rsetattr:parallelformers/utils/attr_utils.py,,Attr,Attr,,,,,,Yes
SpikeGPT,774,https://github.com/ridgerchu/SpikeGPT,Y,N/A,__init__:src/model_run.py,,Attr,Attr,,,,,,Yes
LongMem,772,https://github.com/Victorwz/LongMem,Y,N/A,"_set_module_by_path:fairseq/fairseq/trainer.py,lambda:fairseq/fairseq/modules/quantization/pq/utils.py,resolve_attr:fairseq/fairseq/modules/quantization/pq/utils.py",,Attr,Attr,,,,,,Yes
LongMem,772,https://github.com/Victorwz/LongMem,Y,N/A,,,Attr,Attr,,,,,,Yes
TinyNeuralNetwork,771,https://github.com/alibaba/TinyNeuralNetwork,Y,N,update_submodule_in_node:tinynn/graph/tracer.py,"multiattribute only, value must be nn.module type",,,,,,,,
meta-dataset,768,https://github.com/google-research/meta-dataset,N,N/A,"_randomized_variables:meta_dataset/models/experimental/reparameterizable_base_test.py,genexpr:meta_dataset/models/experimental/reparameterizable_base_test.py,_init_reference_module:meta_dataset/models/experimental/reparameterizable_base_test.py",,N,N,,,,,,
OmniQuant,745,https://github.com/OpenGVLab/OmniQuant,Y,N/A,add_new_module:quantize/omniquant.py,,Attr,Attr,,,,,,Yes
OmniQuant,745,https://github.com/OpenGVLab/OmniQuant,Y,N/A,,,Attr,Attr,,,,,,Yes
Kaggler,744,https://github.com/jeongyoonlee/Kaggler,Y,N,,fn:set_builtin,,,,,,,,
PiPPy,730,https://github.com/pytorch/PiPPy,Y,N/A,"_assign_attr:pippy/_unflatten.py,__init__:pippy/_IR.py,handle_multi_use_params:pippy/_IR.py",,Attr,Attr,,,,,,Yes
aiogram_dialog,720,https://github.com/Tishka17/aiogram_dialog,Y,N,,only setattr for Bot class,,,,,,,,
nyuntam,712,https://github.com/nyunAI/nyuntam,Y,N/A,set_op_by_name:nyuntam/text_generation/engines/mit_han_lab_qserve/ckpt_converter/quant_utils.py,,Attr,Attr,,,,,,Yes
kan-gpt,711,https://github.com/AdityaNG/kan-gpt,Y,N/A,merge_from_args:kan_gpt/mingpt/utils.py,,Attr,Attr,,,,,,Yes
kan-gpt,711,https://github.com/AdityaNG/kan-gpt,Y,N/A,,,Attr,Attr,,,,,,Yes
JSPyBridge,709,https://github.com/extremeheat/JSPyBridge,Y,Y,"Set:src/javascript/pyi.py,Set:src/pythonia/Bridge.py",,Attr/Field,Attr/Field,Function,,,,,
SegmenTron,706,https://github.com/LikeLy-Journey/SegmenTron,Y,N/A,__setattr__:segmentron/config/config.py,,Attr/Field,Field,,,,,,Yes
SegmenTron,706,https://github.com/LikeLy-Journey/SegmenTron,Y,N/A,,,Attr,Field,,,,,,Yes
anole,699,https://github.com/GAIR-NLP/anole,Y,N/A,,,Attr,Field,,.get/.post/.api_route|import_starlette|import_flask|import_fastapi|.route,,,,Yes
anole,699,https://github.com/GAIR-NLP/anole,Y,N/A,,,Attr,Attr,,.get/.post/.api_route|import_starlette|import_flask|import_fastapi|.route,,,,Yes
anole,699,https://github.com/GAIR-NLP/anole,Y,N/A,,,Attr/Field,Field,,.get/.post/.api_route|import_starlette|import_flask|import_fastapi|.route,,,,Yes
anole,699,https://github.com/GAIR-NLP/anole,Y,N/A,,,Attr/Field,Attr/Field,,.get/.post/.api_route|import_starlette|import_flask|import_fastapi|.route,,,,Yes
anole,699,https://github.com/GAIR-NLP/anole,Y,N/A,,,Attr,Attr,,.get/.post/.api_route|import_starlette|import_flask|import_fastapi|.route,,,,Yes
anole,699,https://github.com/GAIR-NLP/anole,Y,N/A,,,Attr/Field,Attr/Field,,.get/.post/.api_route|import_starlette|import_flask|import_fastapi|.route,,,,Yes
anole,699,https://github.com/GAIR-NLP/anole,Y,N/A,,,Attr/Field,Field,,.get/.post/.api_route|import_starlette|import_flask|import_fastapi|.route,,,,Yes
anole,699,https://github.com/GAIR-NLP/anole,Y,N/A,,,Attr,Field,,.get/.post/.api_route|import_starlette|import_flask|import_fastapi|.route,,,,Yes
FreeTakServer,695,https://github.com/FreeTAKTeam/FreeTakServer,Y,N/A,"serializeJsonToModel:FreeTAKServer/core/services/RestAPI.py,serializeJsonToModel:FreeTAKServer/services/rest_api_service/rest_api_service_main.py,convert_model_to_row:FreeTAKServer/core/parsers/XMLCoTController.py,convert_dict_to_node:FreeTAKServer/components/core/domain/controllers/dict_to_node_controller.py,serialize:FreeTAKServer/components/core/domain/controllers/dict_to_node_controller.py,add_value_to_node:FreeTAKServer/components/core/domain/controllers/dict_to_node_controller.py",,Attr,Attr,,import_flask|@get/post/route|.route,,,,Yes
FreeTakServer,695,https://github.com/FreeTAKTeam/FreeTakServer,Y,N/A,,,Attr,Attr,,.route|import_flask|@get/post/route,,,,Yes
