project_name,num_downloads
pytest-xdist,310353034
aenum,309585183
pypular,308747280
appdirs,308610520
identify,307862260
slack-sdk,306765426
bleach,306419674
mistune,305814928
absl-py,305281996
propcache,304849734
setproctitle,304286737
progressbar2,304177260
adal,303625508
tensorboard,301499373
mysql-connector-python,298932667
cfgv,297947035
imageio,297280831
cattrs,297170550
tinycss2,296660576
execnet,294397960
opentelemetry-exporter-otlp-proto-http,293650148
nbclient,293113243
pysocks,293053699
xlrd,291192746
watchdog,290245448
text-unidecode,288618536
opentelemetry-exporter-otlp-proto-grpc,284690682
typeguard,284661973
jupyterlab,284195390
sphinx,283221242
mpmath,282384736
email-validator,281886487
python-utils,281697873
pbr,281272639
aiofiles,279495549
altair,276378973
jupyterlab-server,274863985
ruff,274346738
responses,274059430
xlsxwriter,272149806
hatchling,269989261
opentelemetry-exporter-otlp,265995081
argon2-cffi,265354105
structlog,264235859
simplejson,263171159
mdit-py-plugins,262822895
semver,260745636
dataclasses-json,259042740
overrides,258833501
xgboost,258139808
argon2-cffi-bindings,254116026
lz4,253515005
send2trash,252237679
asynctest,251663386
colorlog,250648554
ordered-set,250120203
json5,249294954
h5py,248885915
tensorflow,248000433
sentencepiece,246792981
pandocfilters,246699956
nltk,246518450
jupyterlab-pygments,244760122
ipywidgets,243717791
widgetsnbextension,241664879
db-dtypes,238842563
azure-storage-file-datalake,235396662
jupyterlab-widgets,235392002
flask-caching,234496040
fastavro,233230327
selenium,233034302
google-cloud-appengine-logging,232377372
schema,231893916
notebook-shim,231202538
opentelemetry-exporter-otlp-proto-common,230748861
flatbuffers,230015906
apache-airflow-providers-common-sql,230008517
azure-mgmt-core,229466336
google-cloud-aiplatform,228859875
google-cloud-bigquery-storage,227139090
faker,226761159
inflection,226569062
oauth2client,226449460
django,226099693
webcolors,225180660
great-expectations,224721978
python-multipart,224619266
terminado,224140299
uvloop,223805199
snowballstemmer,223395219
hvac,223333530
gremlinpython,223006700
numba,222797840
tox,220688451
seaborn,220092495
pathos,219648062
llvmlite,218859867
entrypoints,218826604
jupyter-events,218406519
gast,218217739
lockfile,218021920
click-man,217667154
uri-template,217462756
google-cloud-resource-manager,217002484
azure-mgmt-resource,216876734
rfc3986-validator,216806623
pox,216306763
httptools,216112639
pytest-asyncio,216062870
ppft,215811985
fqdn,215763560
async-lru,215038278
isoduration,214098918
watchfiles,212657172
pandas-gbq,212571761
safetensors,212559098
html5lib,212198390
confluent-kafka,211347108
monotonic,210439749
azure-keyvault-secrets,208385984
databricks-sql-connector,208251233
gcsfs,208102525
jupyter-server-terminals,207898340
google-cloud-logging,207301490
plotly,207066628
msrestazure,206904627
jaraco-functools,206533736
rfc3986,206190436
coloredlogs,204048282
prettytable,201848430
flask-wtf,201099392
ujson,198879643
wsproto,197335277
psycopg2,197166927
graphql-core,195949695
statsmodels,195822687
jupyter-lsp,195819172
types-pyyaml,194849532
antlr4-python3-runtime,194583023
langchain-core,193613236
rich-argparse,193185762
smdebug-rulesconfig,193122967
jaraco-context,192703330
pickleshare,192635484
cached-property,192267396
python-daemon,189904703
semantic-version,189471599
trio,189318158
click-plugins,188644421
dataclasses,188297774
keras,187983423
databricks-cli,187936784
backcall,187903859
aws-requests-auth,187468964
mlflow,186791165
tiktoken,186255946
sshtunnel,186078220
tensorflow-estimator,186008399
docker-pycreds,185141979
scikit-image,183845512
azure-datalake-store,183395054
thrift,182215320
patsy,182075988
connexion,181544582
tensorboard-data-server,181006865
wandb,179851250
azure-mgmt-storage,179819704
opencv-python,178632778
outcome,178279534
alabaster,178264111
docstring-parser,176839834
xxhash,175297247
zeep,175015937
deepdiff,174711496
zstandard,173950621
imagesize,172302723
sphinxcontrib-serializinghtml,172133298
linkify-it-py,171073337
retrying,170729546
langchain,170409604
sphinxcontrib-htmlhelp,169555899
tblib,169411572
pydata-google-auth,168753852
sphinxcontrib-applehelp,167985282
sphinxcontrib-qthelp,167802272
contextlib2,167648889
hypothesis,167435290
sphinxcontrib-devhelp,166864374
pymssql,165982333
deprecation,165933365
argparse,165899539
flask-appbuilder,165114737
backports-zoneinfo,164946122
gevent,164846297
google-re2,164325261
freezegun,163785310
torchvision,162263624
